time,content,Cleaned,Sentiment_polarity,Sentiment_subjectivity
2019-10-25 22:12:23,RT @NextBestPicture: #TheIrishman is the fastest 3.5 hour movie I’ve ever seen. Each hour gets better &amp; better culminating in a final third…,nextbestpicture theirishman fastest hour movie ever seen hour get better amp better culminating final third,0.25,0.5
2019-10-25 22:10:56,"RT @KarenMPeterson: I liked #TheIrishman the first time I saw it. I loved it the second time.

Yes, like everyone says it's mature &amp; master…",karenmpeterson liked theirishman first time saw loved second time yes like everyone say mature amp master,0.32999999999999996,0.4066666666666666
2019-10-25 22:10:00,RT @zoumrouda: #Morocco #Africa #AcademyAwards #Oscars #FIFM2019 #18thEdition of #FIFM #TildaTwinston #topreside the Jury   #Hollywood   #C…,zoumrouda morocco africa academyawards oscar fifm thedition fifm tildatwinston topreside jury hollywood c,0.0,0.0
2019-10-25 22:09:36,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 22:07:49,"RT @Variety: Robert De Niro, Al Pacino and Martin Scorsese bring New York to Hollywood for #TheIrishman L.A. premiere https://t.co/MuNYstUu…",variety robert de niro al pacino martin scorsese bring new york hollywood theirishman l premiere,0.13636363636363635,0.45454545454545453
2019-10-25 22:07:36,RT @NextBestPicture: #TheIrishman is the fastest 3.5 hour movie I’ve ever seen. Each hour gets better &amp; better culminating in a final third…,nextbestpicture theirishman fastest hour movie ever seen hour get better amp better culminating final third,0.25,0.5
2019-10-25 22:06:11,"RT @Variety: The #Oscars race has started. In contention for best picture?
#Joker
#LittleWomen
#HoneyBoy
#TheIrishman
#DolemiteIsMyName
#Th…",variety oscar race started contention best picture joker littlewomen honeyboy theirishman dolemiteismyname th,1.0,0.3
2019-10-25 22:05:36,RT @NetflixQueue: SCORSESE. #TheIrishman https://t.co/IE3Bm3JCVr,netflixqueue scorsese theirishman,0.0,0.0
2019-10-25 22:05:31,RT @APEntertainment: NOT A FAT SUIT: The awkward moment with #AlPacino that inspired #RayRomano - his co-star in  #TheIrishman - to get in…,apentertainment fat suit awkward moment alpacino inspired rayromano co star theirishman,-0.6,1.0
2019-10-25 22:04:10,No photos during the press conference for #TheIrishman so here’s a great before shot with some of the BFCA crew. I’… https://t.co/ExZ3rt972x,photo press conference theirishman great shot bfca crew,0.8,0.75
2019-10-25 22:04:09,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 22:03:42,Who let this guy in the room? #TheIrishman https://t.co/q7TE35nJNa,let guy room theirishman,0.0,0.0
2019-10-25 22:03:38,"RT @KirstenChuba: Netflix is going big for its first premiere at the iconic TCL Chinese Theatre, transforming Hollywood Blvd for #TheIrishm…",kirstenchuba netflix going big first premiere iconic tcl chinese theatre transforming hollywood blvd theirishm,0.1875,0.23333333333333334
2019-10-25 22:02:04,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 22:01:59,Third time in my life I get to ask Martin Scorsese a couple of questions. #TheIrishman https://t.co/IOiXQgHECy,third time life ask martin scorsese couple question theirishman,0.0,0.0
2019-10-25 22:01:58,RT @NetflixQueue: SCORSESE. #TheIrishman https://t.co/IE3Bm3JCVr,netflixqueue scorsese theirishman,0.0,0.0
2019-10-25 22:01:15,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:57:53,What can one say? It's a masterpiece. #TheIrishman https://t.co/fkyjprVCp3,one say masterpiece theirishman,0.0,0.0
2019-10-25 21:56:38,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:55:54,#Morocco #Africa #AcademyAwards #Oscars #FIFM2019 #18thEdition of #FIFM #TildaTwinston #topreside the Jury… https://t.co/o8X6LkflNf,morocco africa academyawards oscar fifm thedition fifm tildatwinston topreside jury,0.0,0.0
2019-10-25 21:53:58,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:52:00,RT @APEntertainment: NOT A FAT SUIT: The awkward moment with #AlPacino that inspired #RayRomano - his co-star in  #TheIrishman - to get in…,apentertainment fat suit awkward moment alpacino inspired rayromano co star theirishman,-0.6,1.0
2019-10-25 21:51:37,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:50:09,"RT @KirstenChuba: Netflix is going big for its first premiere at the iconic TCL Chinese Theatre, transforming Hollywood Blvd for #TheIrishm…",kirstenchuba netflix going big first premiere iconic tcl chinese theatre transforming hollywood blvd theirishm,0.1875,0.23333333333333334
2019-10-25 21:49:31,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:48:13,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:47:46,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:46:29,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:46:13,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:45:59,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:45:15,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:45:09,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
2019-10-25 21:44:29,RT @FilmstoFilms_: The Holy Trinity. Scorsese. De Niro. Pacino. Legends. #TheIrishman https://t.co/JJap5v0btd,filmstofilms holy trinity scorsese de niro pacino legend theirishman,0.0,0.0
